"Version","Revision","N","ProfileCategory","ProfileName","N.Errors","N.Notices","N.Warnings"
"trunk","r57298","01","Featured Site Profiles","Collaborative_Community_12x","0","18","0"
"trunk","r57298","02","Featured Site Profiles","Company_Intranet_12x","0","37","27"
"","","","Featured Site Profiles","Personal_Blog_and_Profile_12x","","",""
"","","","Featured Site Profiles","Small_Organization_Web_Presence_12x","","",""
"","","","Useful Micro Configurations","Collaborative_Community_Wiki_menupage","","",""
"","","","Useful Micro Configurations","Random_header_images","","",""
"","","","Useful Micro Configurations","Multilingual_Wiki_12x","","",""
"","","","Useful Micro Configurations","Countries_By_Region","","",""
"","","","Useful Changes in Display Mode","Mobile","","",""
"","","","Useful Changes in Display Mode","Slideshow_demo","","",""
"","","","Useful New Technology Configurations","Together","","",""
"","","","Useful New Technology Configurations","Post-it_Sticky_Note","","",""
"","","","Useful Administration Configurations","Debug_Mode_Enabled","","",""
"","","","Useful Administration Configurations","Debug_Mode_Disabled","","",""
"","","","Demo of Commonly Used Configurations","User_Trackers","","",""
"","","","Demo of Commonly Used Configurations","Custom_Contact_Form","","",""
"","","","Demo of Commonly Used Configurations","Dynamic_items_list","","",""
"","","","Demo of Commonly Used Configurations","Sortable Tables","","",""
"","","","Demo of Interesting Use Cases","Bug_Tracker","","",""
"","","","Demo of Interesting Use Cases","Time_Sheet","","",""
"","","","Demo of Interesting Use Cases","Tracker_as_Calendar_12 ","","",""
"","","","Demo of Interesting Use Cases","Voting_System","","",""
"","","","Demo of Other Interesting Use Cases","Structured Master Documents","","",""
"","","","Demo of Other Interesting Use Cases","Consensus Forums","","",""
"","","","Demo of Other Interesting Use Cases","Barter_Market","","",""
"","","","Demo of Other Interesting Use Cases","Revision Approval","","",""
"","","","Demo of More Advanced Configurations","Shoping_Cart","","",""
"","","","Demo of More Advanced Configurations","Easy GeoBlog","","",""
"","","","Highly Specialized Configurations","Cartograf","","",""
"","","","Highly Specialized Configurations","R_demo","","",""
"","","","Highly Specialized Configurations","R_Heatmaps","","",""
