"Version","Revision","N","ProfileCategory","ProfileName_12.x","N.Errors","N.Notices","N.Warnings","N.StrictsStd"
"12.x","r59718","01","Featured Site Profiles","Collaborative_Community_12x","1","4","1","0"
"12.x","r59718","02","Featured Site Profiles","Company_Intranet_12x","0","38","8","0"
"12.x","r59718","03","Featured Site Profiles","Personal_Blog_and_Profile_12x","0","27","8","0"
"12.x","r59718","04","Featured Site Profiles","Small_Organization_Web_Presence_12x","0","12","0","0"
"12.x","r59718","05","Useful Micro Configurations","Collaborative_Community_Wiki_menupage","0","1","0","0"
"12.x","r59718","06","Useful Micro Configurations","Random_header_images","0","1","0","0"
"12.x","r59718","07","Useful Micro Configurations","Multilingual_Wiki_12x","0","1","0","0"
"12.x","r59718","08","Useful Micro Configurations","Countries_By_Region","0","1","0","0"
"12.x","r59718","09","Useful Changes in Display Mode","Mobile","0","2","0","0"
"12.x","r59718","10","Useful Changes in Display Mode","Slideshow_demo","0","1","0","0"
"12.x","r59718","11","Useful New Technology Configurations","Together","0","1","0","0"
"12.x","r59718","12","Useful New Technology Configurations","Post-it_Sticky_Note","0","1","0","0"
"12.x","r59718","13","Useful Administration Configurations","Debug_Mode_Enabled","0","1","0","0"
"12.x","r59718","14","Useful Administration Configurations","Debug_Mode_Disabled","0","0","0","0"
"12.x","r59718","15","Demo of Commonly Used Configurations","User_Trackers","0","3","0","0"
"12.x","r59718","16","Demo of Commonly Used Configurations","Custom_Contact_Form","0","2","0","0"
"12.x","r59718","17","Demo of Commonly Used Configurations","Dynamic_items_list","0","1","0","0"
"12.x","r59718","18","Demo of Commonly Used Configurations","Sortable Tables","0","1","0","0"
"12.x","r59718","19","Demo of Interesting Use Cases","Bug_Tracker","0","2","0","0"
"12.x","r59718","20","Demo of Interesting Use Cases","Time_Sheet","0","9","0","0"
"12.x","r59718","21","Demo of Interesting Use Cases","Tracker_as_Calendar_12 ","0","2","0","0"
"12.x","r59718","22","Demo of Interesting Use Cases","Voting_System","0","2","0","0"
"12.x","r59718","23","Demo of Other Interesting Use Cases","Structured Master Documents","0","1","0","0"
"12.x","r59718","24","Demo of Other Interesting Use Cases","Consensus Forums","0","1","0","0"
"12.x","r59718","25","Demo of Other Interesting Use Cases","Barter_Market","0","18","0","0"
"12.x","r59718","26","Demo of Other Interesting Use Cases","Revision Approval","0","1","0","0"
"12.x","r59718","27","Demo of More Advanced Configurations","Shoping_Cart","0","1","0","0"
"12.x","r59718","28","Demo of More Advanced Configurations","Easy GeoBlog","0","1","0","0"
"12.x","r59718","29","Highly Specialized Configurations","Cartograf","0","21","0","0"
"12.x","r59718","30","Highly Specialized Configurations","R_demo","1","2","0","0"
"12.x","r59718","31","Highly Specialized Configurations","R_Heatmaps","0","2","0","0"
"12.x","r59718","32","Extra","Conditional_Display_in_Forms","0","3","0","0"
