"Version","Revision","N","ProfileCategory","ProfileName_trunk","N.Errors","N.Notices","N.Warnings","N.StrictsStd"
"trunk","r60369","01","Featured Site Profiles","Collaborative_Community_12x","60","38","62","0"
"trunk","r60369","02","Featured Site Profiles","Company_Intranet_12x","120","78","178","0"
"trunk","r60369","03","Featured Site Profiles","Personal_Blog_and_Profile_12x","120","54","140","0"
"trunk","r60369","04","Featured Site Profiles","Small_Organization_Web_Presence_12x","120","26","124","0"
"trunk","r60369","05","Useful Micro Configurations","Collaborative_Community_Wiki_menupage","120","4","124","0"
"trunk","r60369","06","Useful Micro Configurations","Random_header_images_14","122","4","126","0"
"trunk","r60369","07","Useful Micro Configurations","Multilingual_Wiki_12x","120","4","124","0"
"trunk","r60369","08","Useful Micro Configurations","Countries_By_Region","120","4","124","0"
"trunk","r60369","09","Useful Changes in Display Mode","Mobile","120","6","124","0"
"trunk","r60369","10","Useful Changes in Display Mode","Slideshow_demo","120","4","124","0"
"trunk","r60369","11","Useful New Technology Configurations","Together","120","4","124","0"
"trunk","r60369","12","Useful New Technology Configurations","Post-it_Sticky_Note","120","4","124","0"
"trunk","r60369","13","Useful Administration Configurations","Debug_Mode_Enabled","120","4","124","0"
"trunk","r60369","14","Useful Administration Configurations","Debug_Mode_Disabled","60","2","62","0"
"trunk","r60369","15","Demo of Commonly Used Configurations","User_Trackers","120","6","124","0"
"trunk","r60369","16","Demo of Commonly Used Configurations","Custom_Contact_Form","120","4","124","0"
"trunk","r60369","17","Demo of Commonly Used Configurations","Dynamic_items_list","120","4","124","0"
"trunk","r60369","18","Demo of Commonly Used Configurations","Sortable Tables","120","4","124","0"
"trunk","r60369","19","Demo of Interesting Use Cases","Bug_Tracker","120","4","124","0"
"trunk","r60369","20","Demo of Interesting Use Cases","Time_Sheet","120","8","124","0"
"trunk","r60369","21","Demo of Interesting Use Cases","Tracker_as_Calendar_12 ","120","4","124","0"
"trunk","r60369","22","Demo of Interesting Use Cases","Voting_System","120","4","124","0"
"trunk","r60369","23","Demo of Other Interesting Use Cases","Structured Master Documents","120","4","124","0"
"trunk","r60369","24","Demo of Other Interesting Use Cases","Consensus Forums","120","4","124","0"
"trunk","r60369","25","Demo of Other Interesting Use Cases","Barter_Market","120","60","124","0"
"trunk","r60369","26","Demo of Other Interesting Use Cases","Revision Approval","120","4","124","0"
"trunk","r60369","27","Demo of More Advanced Configurations","Shoping_Cart","120","4","124","0"
"trunk","r60369","28","Demo of More Advanced Configurations","Easy GeoBlog","120","4","124","0"
"trunk","r60369","29","Highly Specialized Configurations","Cartograf","120","32","126","0"
"trunk","r60369","30","Highly Specialized Configurations","R_demo","121","4","124","0"
"trunk","r60369","31","Highly Specialized Configurations","R_Heatmaps","120","4","124","0"
"trunk","r60369","32","Extra","Conditional_Display_in_Forms_14","60","10","62","0"
